annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
B611_T1_rollover,meter,B611.T1,rollover,2026-01-14,2026-01-14,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9993343. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B611.T1:d.A|B611.T1:d.B|B611.T1:d,True
B611_T3_rollover,meter,B611.T3,rollover,2026-02-23,2026-02-23,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9998247. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B611.T3:d.A|B611.T3:d.B|B611.T3:d,True
B612_T9_rollover,meter,B612.T9,rollover,2025-07-09,2025-07-09,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9995611. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B612.T9:d.A|B612.T9:d.B|B612.T9:d,True
B614_T18_rollover,meter,B614.T18,rollover,2025-01-01,2025-01-01,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9999273. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B614.T18:d.A|B614.T18:d.B|B614.T18:d,True
B614_T20_rollover,meter,B614.T20,rollover,2025-11-10,2025-11-10,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9996529. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B614.T20:d.A|B614.T20:d.B|B614.T20:d,True
B616_T33_rollover,meter,B616.T33,rollover,2025-04-06,2025-04-06,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9994919. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B616.T33:d.A|B616.T33:d.B|B616.T33:d,True
B621_T30_rollover,meter,B621.T30,rollover,2025-12-08,2025-12-08,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9996928. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B621.T30:d.A|B621.T30:d.B|B621.T30:d,True
B621_T5_rollover,meter,B621.T5,rollover,2025-03-26,2025-03-26,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9999660. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B621.T5:d.A|B621.T5:d.B|B621.T5:d,True
B621_T6_rollover,meter,B621.T6,rollover,2025-02-09,2025-02-09,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9997284. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B621.T6:d.A|B621.T6:d.B|B621.T6:d,True
B650_T23_rollover,meter,B650.T23,rollover,2025-12-30,2025-12-30,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9999278. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B650.T23:d.A|B650.T23:d.B|B650.T23:d,True
B653_T17_rollover,meter,B653.T17,rollover,2025-06-18,2025-06-18,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9999965. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B653.T17:d.A|B653.T17:d.B|B653.T17:d,True
B653_T55_rollover,meter,B653.T55,rollover,2025-06-29,2025-06-29,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9996346. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B653.T55:d.A|B653.T55:d.B|B653.T55:d,True
B661_T47_rollover,meter,B661.T47,rollover,2025-05-22,2025-05-22,"Counter rollover at Schneider ceiling (~10,000,000). Pre-reset value 9995369. Stitched via rolling_sum — same treatment as a device swap, but labelled to reflect what the meter actually did.",B661.T47:d.A|B661.T47:d.B|B661.T47:d,True
B660_H23_resets,meter,B660.H23-1,data_quality,1900-01-01,9999-01-01,Provider/utility meter with 7 counter resets (~bimonthly read cycle). All segments stitched via rolling_sum. Boundary artifacts visible in daily chart on reset days — consumption on those days is partially lost.,,True
B660_H3_resets,meter,B660.H3-1,data_quality,1900-01-01,9999-01-01,Provider/utility meter with 3 counter resets (~quarterly). All segments stitched via rolling_sum.,,True
B616_T31-6-2_offline,meter,B616.T31-6-2,outage,2026-02-12,2026-02-12,Counter drops and stays dead from Feb 12. Leaf meter — cannot patch.,B616.T31-6-2:d,True
B616_T33-6-1_dead,meter,B616.T33-6-1,outage,2025-01-01,2025-01-01,Counter at zero for entire observation window. Sub-feeder of B616.T33 serving B835.,,True
B665_T42-2-1_misattr,meter,B665.T42-2-1,data_quality,1900-01-01,9999-01-01,B665.T42-2-1 reads ~5 MWh/month in Snowflake but Excel STRUX_data shows 0. B664 shows excel=0 vs topology=4.9 MWh. B665 overcredited by ~5 MWh/month. Stale STRUX_data.,,False
B659_T28-3-5_unattr,meter,B659.T28-3-5,data_quality,1900-01-01,9999-01-01,Sub-feeder subtracted from B659 but not attributed to any building. ~8 MWh/month unaccounted.,,False
el_t4_strux_only_resolved,building,B611,data_quality,1900-01-01,9999-01-01,"Resolved 2026-04-27: B611.T4-A3/C1/C4 ARE in PME after all, under DB-key aliases B611.T1-4-11/12/13 (display names match the cable-position IDs per DATALOG_ENRICHED). Crosswalk was using the display names as snowflake_id, which didn't resolve. Fixed crosswalk to point at the DB keys; B611/B613/B631 now match Excel within 0.7%.",,True
el_b665_t42_misallocation,building,B664,data_quality,1900-01-01,9999-01-01,"B665.T42-2-1 has live Snowflake readings (~5 MWh/month) attributed to B664 per Excel formula, but Excel cache for B664 = 0 — STRUX_data value is stale/zero while Snowflake reads real consumption. Same pattern as B616 steam.",,False
B660_seasonal_split,building,B660,data_quality,2025-05-01,2025-06-30,"H23-1 and H3-1 show inverse May-June deviation from the steady ~70/30 ratio (H3-1 peaks +40%, H23-1 dips ~15%). Total intake rises, so not cross-wiring — consistent with H3-1 carrying summer-only cooling/ventilation loads.",,True
B612_T8_suspected_excel_bug,meter,B612.T8,data_quality,1900-01-01,9999-01-01,"Suspected Excel bug in gtn.xlsx / formula_document.xlsx: B612 row 12 subtracts B652.T8-A3-A14-112 at col AA, in addition to already subtracting its parent B641.T8-A3 at col Z. This double-counts the deduction (~21 MWh/month, B612 understated ~4% in Excel). The ontology previously mirrored this via an extra hasSubMeter edge B612.T8 → B652.T8-A3-A14-112; that edge was removed 2026-04-21 so the ontology is physically honest (single parent B641.T8-A3) and the Excel gap is exposed in reconciliation as +21 MWh/month at B612. Location to inspect/fix: gtn.xlsx, B612 row 12, delete col AA term.",,False
gtn_el_subkwh_match_tolerance,campus,GTN,calibration,1900-01-01,9999-01-01,GTN EL reconciliation rows marked 'match' may show small drifts at the building level due to Excel cached aggregation vs PME daily-sum rounding. Classifier uses 0.25% relative threshold (raised from 0.1% on 2026-04-27 to absorb noise-level drifts that aren't real discrepancies).,,True
B613_T4-C1_strux_only_resolved,building,B613,data_quality,1900-01-01,9999-01-01,"Resolved 2026-04-27: B611.T4-C1 (Excel allocation lands at B613) was thought to be STRUX-only but is in PME under DB-key alias B611.T1-4-12. Crosswalk fix → B613 matches Excel to ±0.7%.",,True
B631_T4-A3_T4-C4_strux_only_resolved,building,B631,data_quality,1900-01-01,9999-01-01,"Resolved 2026-04-27: B611.T4-A3 / B611.T4-C4 (Excel allocations land at B631) were thought to be STRUX-only but are in PME under DB-key aliases B611.T1-4-11 / B611.T1-4-13. Crosswalk fix → B631 matches Excel to ±0.7%.",,True
B652_T14-B3-J_misroute,building,B652,data_quality,1900-01-01,9999-01-01,"B652.T14-B3-J reads at building B602 per building_id attribution, but Excel formula subtracts it from B652 (row 33 col T) and adds it to B602. Net campus total is unaffected; per-building attribution differs. Open: decide whether to re-attribute the meter to match Excel or add a topology_override.",,False
B654_drift_resolved,building,B654,data_quality,1900-01-01,9999-01-01,"Resolved 2026-04-27: 0.2% drift was below the new 0.25% noise floor. Now auto-classifies as 'match'. PME daily-sum vs Excel cached aggregation drift, not a real discrepancy.",,True
