annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
B600N_KV1_VM20_offline_jul,meter,B600N.KV1_VM20,outage,2025-07-30,2025-07-31,"Meter offline 2025-07-30 (zero delta) with catch-up flush on 2025-07-31 (1875 m³, 2.5× median). Patched via interpolate between clean endpoints 2025-07-29 and 2025-07-31, splitting the 2-day accumulation evenly (~937 m³/day). Monthly July total preserved.",B600N.KV1_VM20:d.A|B600N.KV1_VM20:d.patch1|B600N.KV1_VM20:d.B|B600N.KV1_VM20:d,True
B600N_KV1_VM20_offline_aug,meter,B600N.KV1_VM20,outage,2025-08-31,2025-09-01,"Meter offline 2025-08-31 (zero delta) with catch-up flush on 2025-09-01 (1750 m³, 2.4× median). Patched via interpolate between clean endpoints 2025-08-30 and 2025-09-01, splitting the 2-day accumulation evenly (~875 m³/day). Crosses month boundary — August gains ~875 m³ and September loses ~875 m³ vs raw, but combined Aug+Sep total preserved. Outside Excel comparison window (2026-01/02) so Excel comparison is NOT affected.",B600N.KV1_VM20:d.B|B600N.KV1_VM20:d.patch2|B600N.KV1_VM20:d.C|B600N.KV1_VM20:d,True
gtn_kv_ref_doc_formula_verified,campus,GTN,unknown,1900-01-01,9999-01-01,All GTN KALLVATTEN building formulas cross-checked verbatim against reference/reference_formula_doc/the_only_one_formula_doc.xlsx (KALLVATTEN sheet). Every metered building (39/39) matches current meter_allocations including cross-building subtractions (B615 subtracted from B614; B622+B623 subtracted from B621; B637+B638 subtracted from B612; B613 subtracted from B611 and B612; B626 subtracted from B821; B834 subtracted from B833) and the unusual +B611.VV1_VM21 hot-water term rolled into B611 KV. B843 N/A correctly absent.,,True
gtn_kv_avrakningsmatare,campus,GTN,unknown,1900-01-01,9999-01-01,"Reference formula doc defines a billing-reconciliation aggregator AVRÄKNINGSMÄTARE = B653.KV1_VM21_V + B653.KV1_VM22_V + B654.KV1_VM22_V + B661.KV1_VM21 + B921.KV1_VM21_V. These meters measure water that enters the KV system but evaporates via V2/V9 cooling/process loops (never reaches sewer), so they are deducted from the Telge sewerage fee. Ontology models this as virtual meter GTN.KV_AVRAKNING (campus-level, KALLVATTEN, is_virtual_meter=True). Aggregator CURRENTLY sums 4 of 5: B654.KV1_VM22_V excluded (see gtn_kv_b654_vm22_flat — functionally dead, ~0 contribution). B661.KV1_VM21 participates via its stitched :d ref (see gtn_kv_b661_vm21_resets — 3-segment rolling_sum across two resets). The 5 meters are NOT added to their host-building KV consumption.",GTN.KV_AVRAKNING|B653.KV1_VM21_V:d|B653.KV1_VM22_V:d|B654.KV1_VM22_V:d|B661.KV1_VM21:d|B921.KV1_VM21_V:d,True
gtn_kv_b626_temp_cabin_site,building,B626,unknown,1900-01-01,9999-01-01,"B626 is a temporary cabin site (""Bod-etablering"") located outside B621. KV consumption (+B626.KV1_VM20 +B626.KV1_VM21) is subtracted from B821 (which houses the supply loop), per reference formula doc.",,True
gtn_kv_b656_manually_read,building,B656,data_quality,1900-01-01,9999-01-01,"B656.KV1_VM21 is manually read (""ej uppkopplad men finns i PME, läses in manuellt via EBO"") per reference formula doc. No live BMS feed; PME values come from manual Excel entry. Ontology reads from Snowflake if a row exists; otherwise topology shows zero.",,True
gtn_kv_b869_nc_valve_closed,building,B869,unknown,1900-01-01,9999-01-01,"B869 is not connected to BMS (""Ej uppkopplad"") and its supply valve is expected to be a closed NC-valve per reference formula doc. Any non-zero B869.KV1_VM21 reading indicates either a BMS connection has appeared or the valve leaks. Currently relies on STRUX entry (identifier=strux=B869.KV1_VM21).",,True
gtn_kv_b661_vm21_resets,meter,B661.KV1_VM21,swap,2025-11-20,2026-02-02,"Two hard counter drops on B661.KV1_VM21: 2025-11-20 (14572.56 → 7664.02, Δ=-6908.54) and 2026-02-02 (8275.66 → 0.00, Δ=-8275.66). Likely device swap or manual reset events. Handled by 3-segment split :d.A (valid_to=2025-11-20) | :d.B (2025-11-20 → 2026-02-02) | :d.C (from 2026-02-02) stitched into :d via rolling_sum — matches the B616/B642 pattern used elsewhere. Meter also has 147-day max flat-run (counter reports no consumption); keep monitoring.",B661.KV1_VM21:d.A|B661.KV1_VM21:d.B|B661.KV1_VM21:d.C|B661.KV1_VM21:d,True
gtn_kv_b654_vm22_flat,meter,B654.KV1_VM22_V,data_quality,1900-01-01,9999-01-01,"B654.KV1_VM22_V reports near-flat over 14 months: 402/423 days with zero delta, max 246-day flat run, total +64 m³ on a counter starting at 2041 m³ (~3 m³/day on the 21 active days, 0 on rest). Functionally dead or calibration-floored below 1 m³/day. Excluded from the GTN.KV_AVRAKNING aggregator (its ~64 m³ total is within noise and would add no signal). Raw ref retained for audit. Needs on-site verification whether the circuit is physically in use.",B654.KV1_VM22_V:d,False
gtn_kv_b653_vm22_intermittent,meter,B653.KV1_VM22_V,data_quality,1900-01-01,9999-01-01,"B653.KV1_VM22_V is monotonic but intermittent: 215/423 days flat (51%), max 117-day flat run, no negatives, cumulative +13225 m³ over 14 months. Consumption arrives in bursts after long silent windows — typical BMS gateway outage then catch-up flush pattern. Included in GTN.KV_AVRAKNING as-is (cumulative is correct; only daily-resolution views will show bursts).",B653.KV1_VM22_V:d,True
