facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B600N.KV1_VM20,B600N.KV1_VM20,B600N.KV1_VM20,yes,high,snowflake exact match
B600S.KV1_VM20,B600S.KV1_VM20,B600S.KV1_VM20,yes,high,snowflake exact match
B611.KV1_VM21,B611.KV1_VM21,B611.KV1_VM21,yes,high,snowflake exact match
B611.KV1_VM22,B611.KV1_VM22,B611.KV1_VM22,yes,high,snowflake exact match
B611.VV1_VM21,B611.VV1_VM21,B611.VV1_VM21,yes,high,snowflake exact match
B612.KV1_VM21,B612.KV1_VM21,B612.KV1_VM21,yes,high,snowflake exact match
B612.KV1_VM22,B612.KV1_VM22,B612.KV1_VM22,yes,high,snowflake exact match
B612.KV1_VM23_V,B612.KV1_VM23_V,B612.KV1_VM23_V,yes,high,snowflake exact match
B612.KV1_VM24_V,B612.KV1_VM24_V,B612.KV1_VM24_V,yes,high,snowflake exact match
B613.KV1_VM21_V,B613.KV1_VM21_V,B613.KV1_VM21_V,yes,high,snowflake exact match
B613.KV1_VM22_V,B613.KV1_VM22_V,B613.KV1_VM22_V,yes,high,snowflake exact match
B613.KV1_VM23_V,B613.KV1_VM23_V,B613.KV1_VM23_V,yes,high,snowflake exact match
B614.KV1_VM21,B614.KV1_VM21,B614.KV1_VM21,yes,high,snowflake exact match
B614.KV1_VM22,B614.KV1_VM22,B614.KV1_VM22,yes,high,snowflake exact match
B615.KV1_VM21_V,B615.KV1_VM21_V,B615.KV1_VM21_V,yes,high,snowflake exact match
B616.KV1_VM21,B616.KV1_VM21,B616.KV1_VM21,yes,high,snowflake exact match
B616.KV1_VM22,B616.KV1_VM22,B616.KV1_VM22,yes,high,snowflake exact match
B616.KV1_VM23,B616.KV1_VM23,B616.KV1_VM23,yes,high,snowflake exact match
B621.KV1_VM21,B621.KV1_VM21,B621.KV1_VM21,yes,high,snowflake exact match
B622.KV1_VM21_V,B622.KV1_VM21_V,B622.KV1_VM21_V,yes,high,snowflake exact match
B622.KV1_VM22_V,B622.KV1_VM22_V,B622.KV1_VM22_V,yes,high,snowflake exact match
B622.KV1_VM23_V,B622.KV1_VM23_V,B622.KV1_VM23_V,yes,high,snowflake exact match
B623.KV1_VM21_V,B623.KV1_VM21_V,B623.KV1_VM21_V,yes,high,snowflake exact match
B625.KV1_VM21,B625.KV1_VM21,B625.KV1_VM21,yes,high,snowflake exact match
B625.KV1_VM22_V,B625.KV1_VM22_V,B625.KV1_VM22_V,yes,high,snowflake exact match
B626.KV1_VM20,B626.KV1_VM20,B626.KV1_VM20,yes,high,snowflake exact match
B626.KV1_VM21,B626.KV1_VM21,B626.KV1_VM21,yes,high,snowflake exact match
B631.KV1_VM21_V,B631.KV1_VM21_V,B631.KV1_VM21_V,yes,high,snowflake exact match
B634.KV1_VM21,B634.KV1_VM21,B634.KV1_VM21,yes,high,snowflake exact match
B634.KV1_VM22,B634.KV1_VM22,B634.KV1_VM22,yes,high,snowflake exact match
B637.KV1_VM21,B637.KV1_VM21,B637.KV1_VM21,yes,high,snowflake exact match
B638.KV1_VM21,B638.KV1_VM21,B638.KV1_VM21,yes,high,snowflake exact match
B641.KV1_VM21,B641.KV1_VM21,B641.KV1_VM21,yes,high,snowflake exact match
B642.KV1_VM21,B642.KV1_VM21,B642.KV1_VM21,yes,high,snowflake exact match
B643.KV1_VM21,B643.KV1_VM21,B643.KV1_VM21,yes,high,snowflake exact match
