annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
ann-snv-kyla-b203-kb1-offline,meter,B203.KB1,outage,2025-10-17,9999-01-01,Counter went offline 2025-10-17 at value 6023.20. Leaf meter; ref carries valid_to=2025-10-17 so no flat-carry past the event.,,
ann-snv-kyla-b203-kb5-offline,meter,B203.KB5-Intverk,outage,2025-10-17,9999-01-01,Counter went offline 2025-10-17 at value 7879.81. Same upstream event family as B203.KB1 and B209.KB4.,,
ann-snv-kyla-b209-kb4-offline,meter,B209.KB4_VMM51,outage,2025-10-17,9999-01-01,"Counter went offline 2025-10-17 at value 7346.35. Three-meter coincident offline (B203.KB1, B203.KB5-Intverk, B209.KB4_VMM51) suggests a shared upstream network event.",,
ann-snv-kyla-b201-kb1-elogg-offline,meter,B201.KB1_Elogg,outage,2026-02-17,9999-01-01,Counter went offline 2026-02-17 at value 494.0. Inside the Jan/Feb 2026 reference period — affects the last ~2 weeks of February. Leaf meter; no children to patch from.,,
ann-snv-kyla-b207-vent-offline,meter,B207.VENT,outage,2026-02-15,9999-01-01,Counter went offline 2026-02-15 at value 936.7. Inside the Feb 2026 reference period — affects the last ~2 weeks of February.,,
ann-snv-kyla-b216-vent-offline,meter,B216.VENT,outage,2025-09-27,9999-01-01,Counter went offline 2025-09-27 at value 1050.1. Outside the Jan/Feb 2026 reference period; no impact on the current facit.,,
ann-snv-kyla-fractional-splits,campus,SNV,calibration,1900-01-01,9999-01-01,Four meter refs carry tenant/pool splits that require a fractional-subtract primitive not available in views.sql: B304.KB2 → B302/B303 @ 0.5/0.5; B307.KB1 → B305/B307 @ 0.5/0.5; B305.KB1 → B305 @ 1.0; B307.KB1_VMM52 → B307 @ 1.0. Source meters are attached to campus (building_id='') per the fully-split convention. Residuals of ±1–3 MWh on B302/B303/ B305/B307 are expected until a weighted-subtract primitive exists. See decisions.md in this workstream.,,
ann-snv-kyla-ref-doc-marks-all-na,campus,SNV,unknown,1900-01-01,9999-01-01,"Reference formula doc (KYLA sheet) marks all SNV buildings as 'N/A' for KYLA. However, current snv_kyla ontology tracks 22 buildings with real allocations sourced from the SNV Excel workbook. SNV KYLA Excel cache shows real values for B203/B207/B209 etc. (e.g. B216=111 MWh Jan). The doc therefore appears incomplete / aspirational for SNV KYLA. Current ontology is authoritative; doc not applied. Note: doc also records 'STÄNGDA HUS RÄKNAS SOM ETT' for the closed-house group (B202/203/204/205/209) — this grouping has been applied in VÄRME and KV via annotations but KYLA wasn't affected since closed houses have KYLA = 0.",,False
ann-snv-kyla-b312-inactive,meter,B312.KB1,data_quality,1900-01-01,9999-01-01,B312.KB1 flat at zero for the entire reference period. B312 has no active chilled-water cooling; Excel cache confirms 0. Expected inactivity.,,True
ann-snv-kyla-b209-b304-spring-flat,campus,SNV,data_quality,1900-01-01,9999-01-01,B209.KB1 (63 days) and B304.KB1 (36 days) show early-year flat runs ending around 2025-03-06. Low-magnitude meters; normal pre-cooling-season dormancy (chilled water not yet active).,,True
