facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B207.T94-2-1,B207.T94-2-1,B207.T94-2-1,yes,high,exact Snowflake match
B207.T94-2-2,B207.T94-2-2,B207.T94-2-2,yes,high,exact Snowflake match
B207.T94-2-3,B207.T94-2-3,B207.T94-2-3,yes,high,exact Snowflake match
B207.T94-2-4,B207.T94-2-4,B207.T94-2-4,yes,high,exact Snowflake match
B207.T94-4-3,B207.T94-4-3,B207.T94-4-3,yes,high,exact Snowflake match
B207.T94-4-4,B207.T94-4-4,B207.T94-4-4,yes,high,exact Snowflake match
B207.T94-4-5,B207.T94-4-5,B207.T94-4-5,yes,high,exact Snowflake match
B207.T94-4-6,B207.T94-4-6,B207.T94-4-6,yes,high,exact Snowflake match
B207.T94-4-7,B207.T94-4-7,B207.T94-4-7,yes,high,exact Snowflake match
B207.T95-3-1,B207.T95-3-1,B207.T95-3-1,yes,high,exact Snowflake match
B207.T95-3-2,B207.T95-3-2,B207.T95-3-2,yes,high,exact Snowflake match
B207.T95-3-3,B207.T95-3-3,B207.T95-3-3,yes,high,exact Snowflake match
B207.T95-3-4,B207.T95-3-4,B207.T95-3-4,yes,high,exact Snowflake match
B207.T95-3-6,B207.T95-3-6,B207.T95-3-6,yes,high,exact Snowflake match
B207.T95-5-5,B207.T95-5-5,B207.T95-5-5,yes,high,exact Snowflake match
B207.T95-5-6,B207.T95-5-6,B207.T95-5-6,yes,high,exact Snowflake match
B207.T95-5-7,B207.T95-5-7,B207.T95-5-7,yes,high,exact Snowflake match
B209.T21,B209.T21-1,B209.T21,yes,high,extended fuzzy-match: suffix -1 → Snowflake has B209.T21-1
B209.T21-4-6,B209.T21-4-6,B209.T21-4-6,yes,high,exact Snowflake match
B209.T32,B209.T32-1,B209.T32,yes,high,extended fuzzy-match: suffix -1 → Snowflake has B209.T32-1
B209.T32-2-2,B209.T32-2-2,B209.T32-2-2,yes,high,exact Snowflake match
B209.T32-2-4,B209.T32-2-4,B209.T32-2-4,yes,high,exact Snowflake match
B209.T32-4-2,B209.T32-4-2,B209.T32-4-2,yes,high,exact Snowflake match
B307.T10-1,B307.T10-1,B307.T10-1,yes,high,exact Snowflake match
B307.T10-5-2,B307.T10-5-2,B307.T10-5-2,yes,high,exact Snowflake match
B307.T10-5-3,B307.T10-5-3,B307.T10-5-3,yes,high,exact Snowflake match
B307.T10-6-2,B307.T10-6-2,B307.T10-6-2,yes,high,exact Snowflake match
B307.T10-6-5,B307.T10-6-5,B307.T10-6-5,yes,high,exact Snowflake match
B307.T10-6-8,B307.T10-6-8,B307.T10-6-8,yes,high,exact Snowflake match
B307.T10-6-9,B307.T10-6-9,B307.T10-6-9,yes,high,exact Snowflake match
B307.T10-7-3,B307.T10-7-3,B307.T10-7-3,yes,high,exact Snowflake match
B307.T10-7-4,B307.T10-7-4,B307.T10-7-4,yes,high,exact Snowflake match
B307.T10-7-5,B307.T10-7-5,B307.T10-7-5,yes,high,exact Snowflake match
B307.T10-7-6,B307.T10-7-6,B307.T10-7-6,yes,high,exact Snowflake match
B307.T10-7-7,B307.T10-7-7,B307.T10-7-7,yes,high,exact Snowflake match
B307.T11-1,B307.T11-1,B307.T11-1,yes,high,exact Snowflake match
B307.T11-7-10,B307.T11-7-10,B307.T11-7-10,yes,high,exact Snowflake match
B307.T11-7-7,,B307.T11-7-7,yes,medium,"STRUX-only (not in Snowflake BMS); betjanar=B308 Central pl.2, avlasning=Automatisk; value empty in STRUX_data"
B307.T11-8-5,B307.T11-8-5,B307.T11-8-5,yes,high,exact Snowflake match
