annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
ann-snv-anga-b217-register-corruption,meter,B217.Å1_VMM71,data_quality,2025-07-15,2025-10-10,"Upstream BMS (/SESOWABMSPD04) polled the wrong register for ~87 days. Raw hourly samples alternate between the real counter (~7k MWh band), a near-zero artifact (< 100), and a stuck-high value (~805k). Currently handled by 4-segment split (:d.A | :d.B | :d.C | :d.D) that flat-carries across the gaps, losing ~484 MWh of real consumption across the window. A bracket + interpolate upgrade was attempted and reverted; see reference/docs/snv_anga_followups.md.",B217.Å1_VMM71:d.A|B217.Å1_VMM71:d.B|B217.Å1_VMM71:d.C|B217.Å1_VMM71:d.D|B217.Å1_VMM71:d,False
ann-snv-anga-b216-offline,meter,B216.Å1_VMM71,outage,2026-02-19,,"Counter froze 2026-02-19 at value 12121.072. Ontology stitches raw segment (:d.raw, valid_to 2026-02-19) with a children-sum patch (:d.patch, sum of B217.Å1_VMM71:d.D) via rolling_sum.",B216.Å1_VMM71:d.raw|B216.Å1_VMM71:d.patch|B216.Å1_VMM71:d,True
ann-snv-anga-b216-patch,timeseries,B216.Å1_VMM71:d.patch,patch,2026-02-19,,Children-sum patch: recovers B216 consumption from its sole child B217.Å1_VMM71 after B216's counter froze. Assumes B217 captures all B216 downstream flow; the ~28 MWh Feb-2026 vs-Excel delta is the pre-freeze (Feb 1 → Feb 18) portion that Excel's STRUX register-diff absorbed as zero.,B217.Å1_VMM71:d.D,True
ann-snv-anga-b308-frozen,meter,B308.Å1_VMM71,outage,2025-01-01,,Counter frozen at 12737.1533 for the entire observed window; last real reading predates the 2025-01-01 ingest start. Patched from child B327.Å1_VMM71 via sum from 2026-02-07 onward.,B308.Å1_VMM71:d.raw|B308.Å1_VMM71:d.patch|B308.Å1_VMM71:d,True
ann-snv-anga-b308-patch,timeseries,B308.Å1_VMM71:d.patch,patch,2026-02-07,,Children-sum patch: B327.Å1_VMM71 (sole child) stands in for B308's frozen counter. Produces meter_net ≈ 0 (as children equal parent). Feb-2026 Excel shows −30.78 vs ontology −8.98 MWh; the ~22 MWh gap is pre-patch Feb-1 → Feb-7 that the ontology does not reconstruct.,B327.Å1_VMM71:d,True
ann-snv-anga-b307-vmm71-frozen,meter,B307.Å1_VMM71,data_quality,2025-01-01,2025-11-01,"Trunk ÅNGA counter frozen at 2227.06 from 2025-01-01 through late October 2025 (+0.57 MWh drift over 10 months; effectively dead register), then unfreezes and ticks normally from 2025-11-01 onward. B307.Å1_VMM71 is a pool meter whose hasSubMeter children (B216, B302, B304, B311, B334, B337, B339) report real consumption throughout the freeze window, so meter_net on B307.Å1_VMM71 reads strongly negative (≈ −1500 to −2600 MWh/month, Σ ≈ −22 GWh) across Jan–Oct 2025. Not patched: true pre-November trunk consumption is unknown; patching to zero would mask the magnitude of the gap, and interpolating 2227 → the 2025-11-27 value of 8834 would spread ~6.6 GWh backward across a window where Excel itself reads zero. The former ann-snv-anga-b307-vmm71-swap annotation mis-categorised the 2025-07-31 segment boundary as a device swap: the register was already frozen pre-swap and continues flat post-swap until November, so the split straddles a non-event. Split kept in place; rolling_sum stitching is harmless on continuous values.",B307.Å1_VMM71:d.A|B307.Å1_VMM71:d.B|B307.Å1_VMM71:d,True
ann-snv-anga-b307-vmm71-phase-shift,meter,B307.Å1_VMM71,unknown,2025-11-01,2026-04-01,"Post-unfreeze ontology totals lag Excel by ~3 months. Ontology ticks Nov=7.5, Dec=9.7, Jan=2.0, Feb=9.3 GWh. Excel shows zero until Feb 2026, then Feb=7.8, Mar=10.9, Apr=0.26 GWh — same cumulative ~27 GWh but shifted ~3 months later. Source of the offset unknown: delayed Excel invoicing, wrong Snowflake timestamps, or a genuine mid-window meter commissioning that accounting dated differently from BMS. Needs site verification before any corrective action.",B307.Å1_VMM71:d,False
ann-snv-anga-b307-vmm72-swap,meter,B307.Å1_VMM72,swap,2025-07-31,2025-07-31,Device register swap on 2025-07-31. Handled by 2-segment split :d.A | :d.B stitched via rolling_sum.,B307.Å1_VMM72:d.A|B307.Å1_VMM72:d.B|B307.Å1_VMM72:d,True
ann-snv-anga-b315-swap,meter,B315.Å1_VMM71,swap,2026-01-13,2026-01-13,Device swap on 2026-01-13 (last value 3019.23). Handled by 2-segment split :d.A | :d.B stitched via rolling_sum.,B315.Å1_VMM71:d.A|B315.Å1_VMM71:d.B|B315.Å1_VMM71:d,True
ann-snv-anga-b390-offline,meter,B390.Å1_VMM70,outage,2025-07-31,,Counter went offline 2025-07-31 at 328545. Downstream of B325 Panna2; no children to patch from — consumption beyond this date is unrecoverable from B390 alone. Leaf meter relative to its intended topology branch.,B390.Å1_VMM70:d,True
