annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
ann-snv-sv-bps-v2-pool,campus,SNV,calibration,1900-01-01,9999-01-01,"SNV sjövatten sheet uses a virtual pool 'BPS_V2' = B342 inlets − 15 direct consumers, then distributes it fractionally to four buildings with monthly-variable R-factors. Ontology cannot mirror the fractional pool without a fractional-subtract primitive; current approach allocates via feeds edges and accepts residuals. See feedback_bps_v2_pool_revisit memory — revisit blocked pending Snowflake coverage of all pool drain meters.",,False
ann-snv-sv-b304-strux-only,meter,B304-52-V2-AW026,unknown,1900-01-01,9999-01-01,"B304-52-V2-AW026 is a manually-read STRUX meter with no Snowflake equivalent. Excel caches the meter's monthly value; ontology reads zero. B304 therefore under-counts by the STRUX cached value each month (−29640 Jan-2026, −43483 Feb-2026). Per project convention, STRUX-only meters are never synthesized as Snowflake rows.",,
ann-snv-sv-b334-offline,meter,B334.V2_VM90_V,outage,2025-08-05,2025-11-30,"Counter went offline 2025-08-05 at value 335549.97 and resumed with a device swap on 2025-11-30 at value 364454.09. Combined pattern covered by 2-segment split :d.A | :d.B via rolling_sum. The ~4-month gap is flat-carried; if B334 has upstream data or siblings that capture the physical flow, an interpolate patch could recover the integral. Outside Jan/Feb 2026 reference period so no facit impact.",B334.V2_VM90_V:d.A|B334.V2_VM90_V:d.B|B334.V2_VM90_V:d,True
ann-snv-sv-b342-swap,meter,B342.V2_VM91_V,swap,2025-02-17,2025-02-17,Device swap 2025-02-17 (last value 758607.50 → 0). Now ingested as B342.V2_VM91_V (intagsmätare 2 in the SNV.SJOVATTEN_INTAKE virtual). Handled by 2-segment :d.A | :d.B split via rolling_sum (canonical _classify_boundary detects as reset). Outside Jan/Feb 2026 reference period. The 2026-01/02 building intake totals match Excel within 0.07 % (Jan) / 1.8 % (Feb).,B342.V2_VM91_V:d.A|B342.V2_VM91_V:d.B|B342.V2_VM91_V:d|B342.V2_VM91_V:d.raw,True
ann-snv-sv-b229-offline,meter,B229.V2_VMM51,outage,2026-02-20,9999-01-01,Counter went offline 2026-02-20 at value 9471341.0. Inside Feb 2026 reference period — affects last 8 days of the month.,,
ann-snv-sv-b305-offline,meter,B305.V2_VMM21,outage,2025-10-18,9999-01-01,Counter went offline 2025-10-18 at value 6.60 (essentially zero before offline too). Outside Jan/Feb 2026.,,
ann-snv-sv-b339-offline,meter,B339.V2_GF4,outage,2025-05-19,9999-01-01,Counter went offline 2025-05-19 at value 4840979.0. Outside Jan/Feb 2026.,,True
ann-snv-sv-b229-seasonal,meter,B229.V2_VMM51,data_quality,1900-01-01,9999-01-01,"Seawater cooling seasonal pattern. Active Jun-Oct (~40-90 L/day summer peak), minimal Nov-May (mostly flat days with occasional 1-2 L/day). Not a data-quality issue — reflects physical use of seawater cooling during warm months.",,True
ann-snv-sv-b339-gf3-3-seasonal,meter,B339.V2_GF3_3,data_quality,1900-01-01,9999-01-01,"Inverse seasonal pattern. Active Dec-May (~50-115k L/month), zero Jun-Nov (6-month dormancy). Likely a winter-use circuit (possibly heat-recovery or free-cooling dependent on seawater temperature). Not a data-quality issue. The 'spike' visible on 2026-02-28 is simply the normal daily rate during its active season.",,True
ann-snv-sv-b301-bps-v2-share,building,B301,data_quality,1900-01-01,9999-01-01,B301 = 0.09 × BPS_V2 in Excel (sheet-level fractional residual pool). See ann-snv-sv-bps-v2-pool for the pool mechanics; revisit is blocked pending fractional-subtract primitive and complete Snowflake coverage of the BPS drain meters.,,False
ann-snv-sv-b302-bps-v2-share,building,B302,data_quality,1900-01-01,9999-01-01,B302 = 0.18 × BPS_V2 share. Same pool split as B301; see ann-snv-sv-bps-v2-pool.,,False
ann-snv-sv-b303-bps-v2-share,building,B303,data_quality,1900-01-01,9999-01-01,B303 = 0.18 × BPS_V2 share. Same pool split as B301; see ann-snv-sv-bps-v2-pool.,,False
ann-snv-sv-b307-bps-v2-share,building,B307,data_quality,1900-01-01,9999-01-01,B307 = 0.46 × BPS_V2 share (largest share). Same pool split as B301; see ann-snv-sv-bps-v2-pool.,,False
ann-snv-sv-b344-bps-v2-share,building,B344,data_quality,1900-01-01,9999-01-01,B344 = 0.09 × BPS_V2 share. Same pool split as B301; see ann-snv-sv-bps-v2-pool.,,False
ann-snv-sv-bkringlan-strux-only,building,BKringlan,data_quality,1900-01-01,9999-01-01,"BKringlan is an external-consumer (Telge Nät) metered via TE-52-V2-GF4:1, a manually-read STRUX meter with no BMS data. Excel shows cached STRUX values; ontology reports zero. Per project convention, STRUX-only meters are not synthesized into Snowflake.",,True
ann-snv-sv-bscania-strux-only,building,BScania,data_quality,1900-01-01,9999-01-01,"BScania is an external-consumer (Telge Nät / Scania) metered via TE-52-V2-SCANIA, a manually-read STRUX meter with no BMS data. Same convention as BKringlan.",,True
snv_sjovatten_ref_doc_empty,campus,SNV,unknown,1900-01-01,9999-01-01,Reference formula doc sheet 'SJÖVATTEN V2' exists but has no populated formulas (header only). Current workstream ontology predates the doc and continues to be authoritative. Re-check when the doc is populated.,,True
ann-snv-sv-b308-vm21-inactive,meter,B308.V2_VM21-V,data_quality,1900-01-01,9999-01-01,B308.V2_VM21-V flat at zero for the full reference period. Inactive sub-meter. Not used in building formulas; no impact.,,True
ann-snv-sv-b339-gf3-4-intermittent,meter,B339.V2_GF3_4,data_quality,2025-08-26,2025-10-19,"B339.V2_GF3_4 flat 55 days ending 2025-10-19. Large-magnitude meter (median 2374 L/day). Consistent with the seasonal V9 sjövatten pattern at B339 (active Dec–May, dormant Jun–Nov). Accepted seasonal behaviour.",,True
