media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
EL,B201,2026-01,12050.16,12049.52,-0.64,match,
EL,B201,2026-02,10601.05,10602.16,1.11,match,
EL,B202,2026-01,2257.99,2257.99,-0.00,match,
EL,B202,2026-02,4972.61,4972.16,-0.45,match,
EL,B203,2026-01,3610.37,3610.25,-0.12,match,
EL,B203,2026-02,7800.01,7800.71,0.70,match,
EL,B204,2026-01,1930.63,1930.79,0.17,match,
EL,B204,2026-02,1731.28,1731.41,0.13,match,
EL,B205,2026-01,643.54,643.60,0.06,match,
EL,B205,2026-02,577.09,577.14,0.04,match,
EL,B207,2026-01,16097.92,16098.90,0.98,match,
EL,B207,2026-02,14892.09,14892.41,0.32,match,
EL,B209,2026-01,15243.57,15240.22,-3.35,match,
EL,B209,2026-02,14787.75,14787.49,-0.25,match,
EL,B216,2026-01,70995.05,71001.07,6.02,match,
EL,B216,2026-02,66022.69,66021.65,-1.04,match,
EL,B217,2026-01,60821.62,60819.04,-2.58,match,
EL,B217,2026-02,55032.19,55033.60,1.41,match,
EL,B228,2026-01,0.00,0.00,0.00,match,
EL,B228,2026-02,0.00,0.00,0.00,match,
EL,B301,2026-01,0.00,0.00,0.00,match,
EL,B301,2026-02,0.00,0.00,0.00,match,
EL,B302,2026-01,1956.77,1959.25,2.48,match,
EL,B302,2026-02,2370.27,2370.27,0.00,match,
EL,B303,2026-01,38954.07,38986.31,32.24,match,
EL,B303,2026-02,42974.74,42971.58,-3.15,match,
EL,B304,2026-01,4477.00,0.00,-4477.00,strux_only_meter,B304 EL formula has only 2 +terms — B313.T26S-3-12 and B336.T40-3-1 — and neither meter ID exists in the Snowflake BMS dump at all (verified: zero rows). Onto = 0 because both ts_refs would need readings we don't have. Excel's ~4.5 MWh/mo comes entirely from STRUX manual entries. Same family as B334 T87-T92 and the B313.T26S residual feeding B310/B311. Could be closed by injecting STRUX values for these meters via a structured extraction pipeline — see open_questions.md §5.
EL,B304,2026-02,4072.00,0.00,-4072.00,strux_only_meter,B304 EL formula has only 2 +terms — B313.T26S-3-12 and B336.T40-3-1 — and neither meter ID exists in the Snowflake BMS dump at all (verified: zero rows). Onto = 0 because both ts_refs would need readings we don't have. Excel's ~4.5 MWh/mo comes entirely from STRUX manual entries. Same family as B334 T87-T92 and the B313.T26S residual feeding B310/B311. Could be closed by injecting STRUX values for these meters via a structured extraction pipeline — see open_questions.md §5.
EL,B305,2026-01,108370.89,85363.45,-23007.44,excel_bug,Excel uses B339.T77-4-5 at +1.0 in both B305 (row 22) and B392 (row 81). Ontology splits 0.5/0.5 across the two buildings to avoid double-count; B305 therefore receives 0.5 × T77-4-5 ≈ 23 MWh/mo less than Excel. The other 10 +terms in B305's formula deliver their full flow correctly (T10-7-3 / T10-7-7 carry no BMS data but Excel values for them appear ≈0). Same 50/50-split remediation as B318/B344. See snv_el_T77_4_5_double_plus.
EL,B305,2026-02,98473.09,76793.31,-21679.78,excel_bug,Excel uses B339.T77-4-5 at +1.0 in both B305 (row 22) and B392 (row 81). Ontology splits 0.5/0.5 across the two buildings to avoid double-count; B305 therefore receives 0.5 × T77-4-5 ≈ 23 MWh/mo less than Excel. The other 10 +terms in B305's formula deliver their full flow correctly (T10-7-3 / T10-7-7 carry no BMS data but Excel values for them appear ≈0). Same 50/50-split remediation as B318/B344. See snv_el_T77_4_5_double_plus.
EL,B307,2026-01,179217.78,179285.28,67.50,match,
EL,B307,2026-02,170738.25,170740.25,1.99,match,
EL,B308,2026-01,243145.15,243141.50,-3.64,match,
EL,B308,2026-02,218089.95,218102.91,12.95,match,
EL,B309,2026-01,0.00,0.00,0.00,match,
EL,B309,2026-02,0.00,0.00,0.00,match,
EL,B310,2026-01,225233.54,219248.05,-5985.48,strux_only_meter,"Drift = 0.5 × B313.T26S unmetered residual. Verified by per-component reconstruction: Excel B310 = 0.5 × (T26S_strux − 10 BMS subs in B310 row) + 0.333×T29 + 0.4×T49.net + T27.net + T28.net = 225,234 implies T26S_strux ≈ 74.6 MWh/mo. BMS sub-feeders sum to ~63 MWh, leaving ~12 MWh STRUX-only residual that splits 50/50 with B311 — both buildings reconcile to the same implied T26S_strux. Mechanism: the `B313.T26S → B310.EL_VIRT feeds k=0.5` edge in meter_relations is dead because T26S has no measured flow; views.sql's recursive `flow` requires a measured base for feeds to fire, and T26S never enters the recursion. Same family as B304 (T26S-3-12 / T40-3-1 absent) and B334 T87-T92. Could be closed by injecting STRUX value for B313.T26S as a virtual ts_ref — see open_questions.md §5."
EL,B310,2026-02,206224.71,200265.20,-5959.51,strux_only_meter,"Drift = 0.5 × B313.T26S unmetered residual. Verified by per-component reconstruction: Excel B310 = 0.5 × (T26S_strux − 10 BMS subs in B310 row) + 0.333×T29 + 0.4×T49.net + T27.net + T28.net = 225,234 implies T26S_strux ≈ 74.6 MWh/mo. BMS sub-feeders sum to ~63 MWh, leaving ~12 MWh STRUX-only residual that splits 50/50 with B311 — both buildings reconcile to the same implied T26S_strux. Mechanism: the `B313.T26S → B310.EL_VIRT feeds k=0.5` edge in meter_relations is dead because T26S has no measured flow; views.sql's recursive `flow` requires a measured base for feeds to fire, and T26S never enters the recursion. Same family as B304 (T26S-3-12 / T40-3-1 absent) and B334 T87-T92. Could be closed by injecting STRUX value for B313.T26S as a virtual ts_ref — see open_questions.md §5."
